brand,model,year,body_type,engine_size,cylinders,turbo,horsepower,torque_nm,weight,wheelbase_mm,length_mm,width_mm,height_mm,doors,seats,transmission,fuel_type,drivetrain,odometer_km,city_ratio,battery_kwh,emission_std,co2_gpkm,l_per_100km,price,target_mileage
Toyota,RAV4,2009,coupe,4.91,8,0,366.0,649,2287.0,3005,4992,1975,1464,2,5,automatic,electric,FWD,168274.0,0.455,61.11,EURO 4,2.1,2.06,33565,48.47
Ford,Focus,2010,pickup,0.82,3,1,130.0,194,1854.0,2718,4527,1758,1472,4,5,automatic,petrol,FWD,345926.0,0.735,0.0,EURO 5,137.6,5.75,4891,17.38
Ford,Focus,2023,sedan,6.19,12,0,411.0,763,2531.0,3108,5527,2047,1375,4,5,automatic,petrol,FWD,33263.0,0.15,0.0,EURO 6d,253.6,10.6,40108,9.43
Mercedes,E-Class,2021,suv,3.85,8,0,362.0,566,2436.0,2917,5049,1952,1639,5,7,automatic,petrol,FWD,117870.0,0.303,0.0,EURO 6d,205.3,8.58,32659,11.65
Honda,Fit,2015,crossover,1.91,4,1,193.0,315,1846.0,2691,4378,1764,1545,5,5,automatic,hybrid,FWD,178033.0,0.172,2.44,EURO 6,91.3,4.56,15351,21.92
Toyota,Camry,2015,suv,1.35,4,1,138.0,208,1840.0,2567,4366,1852,1620,5,5,automatic,petrol,FWD,186368.0,0.513,0.0,EURO 6,133.7,5.59,14865,17.89
Toyota,RAV4,2024,sedan,1.65,4,1,206.0,317,1528.0,2559,4323,1788,1443,4,5,automatic,petrol,FWD,10656.0,0.154,0.0,EURO 6d,112.8,4.72,30981,21.2
Toyota,Corolla,2011,sedan,1.28,4,0,130.0,206,1483.0,2598,4172,1743,1434,4,5,automatic,diesel,FWD,270315.0,0.574,0.0,EURO 5,110.8,4.2,18265,23.83
Toyota,Corolla,2012,sedan,1.52,4,1,159.0,200,1385.0,2601,4342,1745,1455,4,5,manual,hybrid,FWD,267270.0,0.226,1.51,EURO 5,79.5,3.97,14984,25.16
BMW,3 Series,2008,sedan,2.73,6,0,300.0,500,1771.0,2762,4587,1843,1423,4,5,dct,petrol,AWD,208144.0,0.606,0.0,EURO 4,193.4,8.08,22974,12.37
Toyota,Camry,2012,hatchback,3.75,8,1,289.0,501,1924.0,2876,4929,1880,1404,5,5,automatic,diesel,FWD,223845.0,0.284,0.0,EURO 5,154.8,5.86,19576,17.06
Honda,Accord,2008,sedan,4.33,8,1,345.0,575,2123.0,2928,4934,1939,1439,4,5,automatic,petrol,FWD,192415.0,0.448,0.0,EURO 4,185.8,7.77,24571,12.87
Hyundai,Tucson,2014,hatchback,2.35,6,0,140.0,268,1577.0,2736,4392,1825,1452,5,5,manual,diesel,FWD,253823.0,0.172,0.0,EURO 5,111.9,4.24,14798,23.59
Ford,Escape,2014,suv,2.31,6,0,195.0,330,2140.0,2704,4641,1860,1614,5,7,manual,petrol,AWD,161797.0,0.376,0.0,EURO 5,162.1,6.77,21497,14.76
BMW,X3,2013,suv,1.71,4,0,172.0,247,2025.0,2619,4528,1860,1651,5,5,automatic,petrol,AWD,292393.0,0.328,0.0,EURO 5,213.4,8.92,20679,11.21
Mercedes,GLC,2007,crossover,4.15,8,0,445.0,729,2351.0,2906,4904,1911,1572,5,5,automatic,electric,RWD,202158.0,0.109,55.22,EURO 4,0.8,1.95,30233,51.24
BMW,X5,2018,crossover,1.18,3,0,141.0,254,1739.0,2531,4181,1778,1541,5,5,automatic,petrol,AWD,119768.0,0.286,0.0,EURO 6,138.7,5.8,22068,17.24
Chevrolet,Cruze,2012,sedan,3.19,6,0,287.0,506,1861.0,2787,4674,1869,1412,4,5,,petrol,FWD,441486.0,0.479,0.0,EURO 5,141.0,5.89,19653,16.97
Ford,Escape,2014,sedan,1.78,4,0,134.0,221,1463.0,2614,4320,1757,1446,4,5,cvt,petrol,FWD,221210.0,0.107,0.0,EURO 5,103.4,4.32,15137,23.14
Nissan,Altima,2016,coupe,0.87,3,1,,175,1277.0,2532,4095,1713,1441,2,5,automatic,petrol,FWD,274855.0,0.4,0.0,EURO 6,106.5,4.45,12802,22.46
Honda,Civic,2021,suv,2.63,6,1,244.0,390,2180.0,2666,4778,1914,1630,5,5,cvt,hybrid,AWD,83404.0,0.25,1.64,EURO 6d,115.6,5.78,32256,17.31
Honda,Civic,2009,crossover,1.87,4,1,195.0,335,1792.0,2674,4372,1765,1564,5,5,automatic,petrol,RWD,259421.0,0.119,0.0,EURO 4,119.8,5.01,14469,19.97
Toyota,Camry,2010,suv,2.36,6,0,195.0,345,2244.0,2683,4618,1886,1645,5,5,automatic,petrol,RWD,144130.0,0.541,0.0,EURO 5,198.3,8.29,17748,12.07
Volkswagen,Polo,2022,hatchback,1.3,4,1,178.0,248,1527.0,2544,4237,1748,1473,5,5,automatic,diesel,RWD,68897.0,0.487,0.0,EURO 6d,127.5,4.83,19837,20.71
Ford,Focus,2020,sedan,1.84,4,1,183.0,316,1530.0,2638,4410,1739,1478,4,5,automatic,hybrid,FWD,34342.0,0.156,2.38,EURO 6,84.5,4.22,25813,23.67
Nissan,Altima,2024,suv,1.95,4,0,125.0,241,1872.0,2623,4589,1871,1628,5,5,automatic,hybrid,FWD,24196.0,0.419,1.44,EURO 6d,96.2,4.81,28749,20.78
Honda,CR-V,2020,suv,2.16,4,0,146.0,251,1941.0,2627,4704,1860,1595,5,5,manual,hybrid,FWD,95071.0,0.547,2.28,EURO 6,95.7,4.79,24461,20.89
Toyota,RAV4,2015,sedan,1.26,4,0,132.0,176,1489.0,2554,4261,1720,1451,4,5,manual,petrol,AWD,174703.0,0.289,0.0,EURO 6,116.0,4.85,16558,20.62
Nissan,Sentra,2018,hatchback,6.5,12,0,441.0,807,2651.0,3200,5475,2041,1454,5,5,cvt,hybrid,FWD,51363.0,0.643,1.91,EURO 6,210.7,10.54,41594,9.49
Chevrolet,Cruze,2020,pickup,3.17,6,1,283.0,485,2463.0,2942,5160,1878,1503,4,5,cvt,hybrid,FWD,88727.0,0.216,2.04,EURO 6,106.1,5.3,31899,18.86
Honda,Accord,2022,suv,2.16,4,0,182.0,289,2012.0,2641,4619,1857,1625,5,5,manual,petrol,RWD,58255.0,0.334,0.0,EURO 6d,192.1,8.03,26647,12.45
Hyundai,Ioniq,2023,hatchback,3.29,8,0,224.0,425,1842.0,2777,4643,1886,1455,5,5,cvt,petrol,FWD,27290.0,0.526,0.0,EURO 6d,157.9,6.6,33542,15.15
Toyota,Prius,2017,crossover,1.67,4,1,177.0,314,1885.0,2586,4269,1765,1552,5,5,manual,petrol,AWD,118655.0,0.209,0.0,EURO 6,149.3,6.24,26772,16.02
Toyota,RAV4,2015,suv,1.41,4,1,162.0,217,1913.0,2546,4506,1836,1637,5,5,manual,petrol,FWD,127341.0,0.166,0.0,EURO 6,120.7,5.05,14710,19.82
Kia,Rio,2010,hatchback,0.9,3,0,71.0,104,1312.0,2533,4158,1714,1469,5,5,manual,hybrid,FWD,334013.0,0.421,2.11,EURO 5,73.0,3.65,9797,27.39
Chevrolet,Equinox,2010,sedan,1.35,4,1,145.0,222,1446.0,2583,4249,1759,1456,4,5,automatic,diesel,AWD,183789.0,0.587,0.0,EURO 5,135.6,5.14,14443,19.47
Volkswagen,Golf,2005,crossover,1.7,4,0,177.0,285,1844.0,2559,4326,1768,1552,5,5,manual,hybrid,FWD,254675.0,0.409,2.18,EURO 4,86.5,4.33,11072,23.12
Mercedes,E-Class,2013,suv,2.38,6,1,350.0,487,2167.0,2637,4843,1866,1603,5,5,automatic,petrol,AWD,312396.0,0.618,0.0,EURO 5,235.0,9.82,24525,10.18
Toyota,Camry,2015,sedan,1.07,3,1,124.0,199,1268.0,2494,4153,1754,1440,4,5,automatic,petrol,FWD,110795.0,0.358,0.0,EURO 6,131.5,5.5,21843,18.19
Toyota,Camry,2006,pickup,1.43,4,0,102.0,180,2183.0,2788,4585,1779,1448,4,5,cvt,diesel,AWD,337160.0,0.366,0.0,EURO 4,136.5,5.17,14553,19.34
Hyundai,Tucson,2022,sedan,1.3,4,1,139.0,215,1547.0,2598,4277,1793,1471,4,5,manual,electric,AWD,65224.0,0.283,87.34,EURO 6d,2.6,1.8,30712,55.66
Honda,CR-V,2013,pickup,,6,0,233.0,374,2375.0,2901,4970,1856,1420,4,5,manual,electric,FWD,158626.0,0.437,71.53,EURO 5,3.6,2.25,26078,44.36
Volkswagen,Polo,2010,suv,1.76,4,1,200.0,332,1987.0,2611,4576,1852,1624,5,7,manual,petrol,FWD,200860.0,0.465,0.0,EURO 5,134.4,5.62,15635,17.79
Honda,Fit,2005,crossover,1.3,4,1,154.0,268,1661.0,2545,4174,1769,1601,5,5,dct,diesel,RWD,308863.0,0.855,0.0,EURO 4,128.8,4.88,7271,20.5
Kia,Optima,2008,pickup,2.14,4,0,144.0,257,2270.0,2889,4815,1766,1436,4,5,automatic,petrol,AWD,376478.0,0.61,0.0,EURO 4,154.7,6.47,14824,15.46
Nissan,Altima,2023,sedan,1.99,4,1,197.0,294,1584.0,2635,4315,1782,1468,4,5,automatic,petrol,FWD,37756.0,0.22,0.0,EURO 6d,118.3,4.95,26352,20.22
Toyota,Corolla,2005,hatchback,3.41,8,1,274.0,485,2008.0,2836,4795,1889,1421,5,5,automatic,hybrid,RWD,444223.0,0.286,1.39,EURO 4,104.8,5.24,14987,19.09
Mercedes,GLC,2020,suv,3.16,6,0,329.0,544,2154.0,2769,4903,1910,1602,5,5,cvt,petrol,RWD,126791.0,0.335,0.0,EURO 6,175.2,7.33,32500,13.65
Chevrolet,Equinox,2009,sedan,5.77,12,0,410.0,692,2450.0,3063,5373,2018,1422,4,5,automatic,diesel,RWD,450000.0,0.397,0.0,EURO 4,303.8,11.51,21874,8.69
Honda,Civic,2007,sedan,3.35,8,0,245.0,428,1910.0,2853,4733,1901,1459,4,5,automatic,hybrid,RWD,381263.0,0.678,1.29,EURO 4,105.8,5.29,14302,18.9
Hyundai,Sonata,2011,sedan,2.43,6,1,211.0,355,1648.0,2674,4579,1836,1439,4,5,manual,hybrid,FWD,313315.0,0.303,1.81,EURO 5,87.3,4.36,19566,22.92
Ford,Focus,2008,sedan,1.6,4,1,161.0,235,1568.0,2583,4391,1772,1437,4,5,automatic,electric,RWD,240918.0,0.558,63.51,EURO 4,0.3,2.05,17942,48.71
Ford,F-150,2024,sedan,1.37,4,1,157.0,283,1453.0,2555,4230,1756,1480,4,5,automatic,petrol,AWD,11755.0,0.455,0.0,EURO 6d,125.1,5.23,33362,19.12
Nissan,Rogue,2008,wagon,3.14,6,0,229.0,438,2122.0,2780,4721,1834,1415,5,5,manual,petrol,RWD,371241.0,0.816,0.0,EURO 4,173.3,7.24,15422,13.8
Audi,A4,2017,sedan,2.2,6,1,310.0,492,1595.0,2668,4465,1800,1431,4,5,automatic,petrol,FWD,93556.0,0.521,0.0,EURO 6,133.6,5.59,33520,17.9
Chevrolet,Equinox,2014,suv,1.95,4,0,174.0,285,1715.0,2586,4559,1907,1609,5,7,automatic,diesel,FWD,256172.0,0.123,0.0,EURO 5,122.2,4.63,13991,21.6
Kia,Sportage,2020,sedan,1.06,3,0,102.0,147,1336.0,2497,4164,1759,1467,4,5,automatic,hybrid,RWD,166970.0,0.447,2.43,EURO 6,96.2,4.81,16098,20.79
Mercedes,GLC,2014,coupe,1.85,4,1,212.0,341,1654.0,2607,4268,1791,1429,2,5,manual,petrol,RWD,119883.0,0.072,0.0,EURO 5,206.1,8.62,24357,11.61
Toyota,Corolla,2006,suv,4.67,8,0,325.0,591,2524.0,3033,5283,2003,1631,5,5,manual,petrol,RWD,380300.0,0.221,0.0,EURO 4,212.7,8.89,21114,11.24
Honda,CR-V,2023,hatchback,0.87,3,0,,112,1351.0,2511,4068,1717,1458,5,5,automatic,electric,FWD,31971.0,0.13,46.78,EURO 6d,-0.9,2.13,31691,47.0
Audi,A4,2018,sedan,1.38,4,1,193.0,321,1553.0,2610,4242,1749,1435,4,5,automatic,diesel,AWD,124242.0,0.515,0.0,EURO 6,161.3,6.11,33708,16.37
Kia,Rio,2012,hatchback,1.55,4,0,133.0,216,1491.0,2600,4334,1799,1443,5,5,manual,petrol,FWD,220415.0,0.559,0.0,EURO 5,108.4,4.53,18190,22.07
Chevrolet,Malibu,2008,pickup,3.73,8,1,338.0,551,2566.0,3071,5206,1936,1473,4,5,automatic,hybrid,FWD,229907.0,0.7,1.59,EURO 4,139.8,6.99,17732,14.3
Hyundai,Elantra,2016,suv,1.15,3,0,117.0,223,1681.0,2547,4402,1783,1622,5,5,automatic,electric,FWD,0.0,0.19,104.34,EURO 6,-3.2,1.98,24164,50.52
Ford,F-150,2013,sedan,2.27,6,0,186.0,286,1807.0,2687,4532,1847,1425,4,5,automatic,petrol,AWD,247056.0,0.633,0.0,EURO 5,173.1,7.24,17546,13.82
Chevrolet,Malibu,2015,sedan,,4,1,196.0,310,1541.0,2623,4296,1802,1427,4,5,manual,petrol,FWD,214220.0,0.329,0.0,EURO 6,120.6,5.04,22156,19.84
Ford,Fusion,2018,wagon,3.9,8,0,288.0,488,2192.0,2856,4862,1936,1443,5,5,manual,diesel,FWD,62907.0,0.364,0.0,EURO 6,165.5,6.27,33667,15.95
Kia,Sportage,2016,crossover,5.16,12,1,373.0,666,2669.0,3002,5265,1952,1579,5,5,automatic,petrol,RWD,212004.0,0.632,0.0,EURO 6,388.6,16.25,29698,6.15
Toyota,Prius,2019,pickup,2.15,4,0,205.0,311,2105.0,2838,4816,1803,1452,4,5,manual,petrol,RWD,55251.0,0.241,0.0,EURO 6,208.3,8.71,28506,11.49
Mercedes,GLC,2011,hatchback,2.24,6,0,256.0,395,1552.0,2645,4333,1829,1477,5,5,manual,petrol,FWD,148857.0,0.091,0.0,EURO 5,169.7,7.09,21890,14.1
Toyota,RAV4,2007,crossover,2.61,6,0,190.0,330,1945.0,2721,4543,1835,1561,5,5,automatic,petrol,FWD,274690.0,0.401,0.0,EURO 4,134.0,5.6,12061,17.85
Hyundai,Sonata,2018,sedan,2.0,4,0,149.0,276,1596.0,2637,4413,1798,1417,4,5,manual,petrol,RWD,74668.0,0.141,0.0,EURO 6,123.5,5.16,21259,19.38
Ford,F-150,2023,crossover,1.59,4,1,163.0,227,1803.0,2568,4287,1818,1585,5,5,cvt,hybrid,FWD,24655.0,0.6,1.52,EURO 6d,81.1,4.05,25446,24.66
Ford,Focus,2012,wagon,2.17,4,0,193.0,312,1738.0,2668,4510,1832,1448,5,5,automatic,diesel,FWD,173387.0,0.17,0.0,EURO 5,133.5,5.06,17187,19.77
Toyota,Prius,2010,hatchback,,6,0,216.0,415,1778.0,2678,4644,1854,1421,5,5,manual,petrol,FWD,151497.0,0.595,0.0,EURO 5,120.3,5.03,16145,19.88
Volkswagen,Golf,2022,crossover,2.46,6,0,226.0,402,1882.0,2655,4487,1824,1559,5,5,automatic,hybrid,FWD,61252.0,0.106,2.48,EURO 6d,93.9,4.7,25557,21.29
Toyota,Camry,2022,crossover,1.85,4,0,115.0,191,1852.0,2650,4351,1777,1561,5,5,automatic,hybrid,FWD,4570.0,0.605,1.76,EURO 6d,92.4,4.62,22564,21.64
BMW,X5,2023,sedan,4.04,8,0,364.0,580,2117.0,2870,4914,1966,1452,4,5,automatic,electric,FWD,22098.0,0.393,67.63,EURO 6d,-0.7,1.99,43954,50.32
Toyota,Prius,2021,suv,2.21,6,1,224.0,358,1986.0,2657,4657,1861,1614,5,5,manual,hybrid,FWD,64381.0,0.542,2.46,EURO 6d,93.6,4.68,29074,21.36
Chevrolet,Silverado,2023,sedan,2.2,6,0,186.0,317,1590.0,2654,4394,1802,1433,4,5,cvt,petrol,FWD,31675.0,0.165,0.0,EURO 6d,116.8,4.88,28210,20.49
BMW,5 Series,2021,crossover,5.18,12,0,434.0,746,2754.0,2966,5139,1949,1559,5,5,cvt,petrol,FWD,23166.0,0.11,0.0,EURO 6d,529.4,22.13,44533,4.52
Toyota,Camry,2018,hatchback,2.85,6,1,216.0,352,1603.0,2707,4654,1863,1454,5,5,manual,diesel,FWD,124155.0,0.29,0.0,EURO 6,123.4,4.67,26476,21.4
Toyota,Camry,2017,pickup,1.98,4,0,142.0,245,2132.0,2855,4824,1801,1460,4,5,automatic,electric,FWD,121386.0,0.36,41.35,EURO 6,0.9,1.82,27631,54.89
Ford,Focus,2008,hatchback,4.41,8,0,354.0,602,2221.0,2954,4974,1933,1469,5,5,cvt,petrol,AWD,303674.0,0.342,0.0,EURO 4,256.7,10.73,17434,9.32
Ford,Fusion,2016,hatchback,2.61,6,1,273.0,426,1751.0,2739,4632,1832,1470,5,5,automatic,hybrid,RWD,240196.0,0.413,2.35,EURO 6,93.7,4.69,21556,21.34
Volkswagen,Polo,2008,suv,3.57,8,1,309.0,490,2328.0,2807,5063,1942,1626,5,5,manual,diesel,RWD,363652.0,0.313,0.0,EURO 4,174.8,6.62,20256,15.11
Mercedes,C-Class,2019,suv,1.33,4,1,210.0,293,1902.0,2550,4532,1836,1672,5,7,manual,petrol,AWD,8028.0,0.388,0.0,EURO 6,193.1,8.07,31028,12.38
Ford,F-150,2014,wagon,1.02,3,0,131.0,175,1615.0,2536,4172,1738,1497,5,5,manual,petrol,FWD,237505.0,0.394,0.0,EURO 5,150.1,6.28,13848,15.93
Hyundai,Ioniq,2012,hatchback,3.45,8,0,231.0,438,1881.0,2793,4663,1867,1447,5,5,manual,hybrid,FWD,248125.0,0.162,2.18,EURO 5,118.1,5.9,18971,16.94
Audi,Q5,2022,suv,1.25,4,1,184.0,267,1788.0,2532,4437,1808,1650,5,5,manual,petrol,FWD,38925.0,0.546,0.0,EURO 6d,128.3,5.36,33791,18.65
Audi,A4,2012,crossover,1.26,4,1,230.0,329,1820.0,2594,4300,1751,1592,5,5,manual,petrol,AWD,298579.0,0.473,0.0,EURO 5,139.2,5.82,22948,17.19
Kia,Optima,2016,pickup,4.18,8,0,280.0,500,2688.0,3116,5347,1925,1454,4,5,automatic,electric,RWD,39113.0,0.704,77.73,EURO 6,-2.7,1.96,29692,50.96
Hyundai,Ioniq,2016,crossover,1.38,4,0,137.0,200,1788.0,2564,4268,1747,1581,5,5,dct,petrol,FWD,3362.0,0.354,0.0,EURO 6,119.9,5.01,18728,19.95
Nissan,Sentra,2008,hatchback,1.75,4,0,120.0,195,1438.0,2626,4372,1804,1432,5,5,automatic,diesel,RWD,164191.0,0.336,0.0,EURO 4,115.0,4.36,12421,22.96
Ford,Escape,2005,crossover,2.83,6,0,202.0,389,2245.0,2742,4626,1821,1582,5,5,automatic,diesel,FWD,450000.0,0.671,0.0,EURO 4,173.6,6.57,10081,15.21
Toyota,Corolla,2023,crossover,2.01,4,1,187.0,314,1812.0,2564,4333,1779,1592,5,5,manual,hybrid,RWD,24739.0,0.076,1.9,EURO 6d,85.8,4.29,31657,23.3
Honda,Fit,2010,sedan,2.12,4,0,160.0,319,1435.0,2711,4421,1836,1476,4,5,automatic,petrol,FWD,408940.0,0.115,0.0,EURO 5,111.8,4.68,12564,21.39
Toyota,Corolla,2018,sedan,3.53,8,0,,430,1931.0,2820,4697,1867,1446,4,5,automatic,petrol,RWD,,0.205,0.0,EURO 6,191.0,7.98,24797,12.53
Ford,Focus,2007,sedan,1.03,3,0,127.0,189,1249.0,2545,4195,1732,1436,4,5,manual,petrol,FWD,450000.0,0.38,0.0,EURO 4,115.6,4.83,2500,20.69
Volkswagen,Golf,2005,hatchback,1.65,4,0,144.0,194,1534.0,2604,4205,1808,1443,5,5,automatic,diesel,FWD,363706.0,0.344,0.0,EURO 4,125.0,4.73,5204,21.13
